id,ca,de,en,es,fr,pl,pt
INCOMPATIBLE_MEMORY_QUESTION,Vols canviar l'opció “Longitud de memòria màxima” per jugar en aquest escenari en les millors condicions?,"Möchten Sie die Option „Maximale Speicherlänge“ ändern, um dieses Szenario unter den besten Bedingungen zu spielen?","Do you want to change the ""Memory max length"" option to play this scenario in the best conditions?",¿Quieres cambiar la opción “Longitud de memoria máxima” para jugar en este escenario en las mejores condiciones?,"Voulez-vous changer l'option ""Taille max de la mémoire"" pour jouer ce scénario dans les meilleures conditions ?",Czy chcesz zmienić opcję „Maksymalna długość pamięci” aby zagrać w ten scenariusz w najlepszych warunkach?,Você quer mudar a opção “Tamanho máximo de memória” para jogar esse cenário nas melhores condições?
INCOMPATIBLE_MEMORY_REFUSE,No. No canviar res.,Nein. Nichts ändern,No. Don't change anything,No. No cambiar nada.,Non. Ne rien changer,Nie. Nic nie zmieniaj,Não. Não mude nada
INCOMPATIBLE_MEMORY_WARNING,"La “Longitud de memòria màxima” definida a la teva opció és massa petita per a aquest escenari.
Longitud de memòria necessària :","Die in Ihrer Option definierte ""Maximale Speicherlänge"" ist für diese Geschichte zu gering.
Erforderliche Speicherlänge:","The ""Memory max length"" defined in your option is too small for this scenario.
Memory length required : ","La “Longitud de memoria máxima” definida en tu opción es demasiado pequeña para este escenario.
Longitud de memoria necesaria :","La ""Taille max de la mémoire"" définie dans les options est trop petite pour ce scénario.
Longueur de mémoire requise : ","„Maksymalna długość pamięci” wybrana w twoich opcjach jest zbyt mała do toego scenariusza.
Wymagana długość pamięci:","O “Tamanho máximo de memória” definido em suas opções é muito pequeno para esse cenário.
Tamanho de memória requerido:"
INPUT_BAR_DO,Fer,Tun,Do,Hacer,Faire,Zrób,Faça
INPUT_BAR_DO_HINT,buidar la teva galleda d'aigua al cap del cavaller.,den Wassereimer auf dem Kopf des Ritters entleeren,empty your bucket of water on the knight's head.,vaciar tu cubo de agua en la cabeza del caballero.,vides ton seau d'eau sur la tete du chevalier.,opróżnij wiadro wody na głowie rycerza.,esvazie o seu balde d'água na cabeça do cavalheiro
INPUT_BAR_GENERATE,Generar,Generieren,Generate,Generar,Générer,Generuj,Gerar
INPUT_BAR_MEMORY,Memòria,Speicher,Memory,Memoria,Mémoire,Pamięć,Memoria
INPUT_BAR_MEMORY_HINT,Fes clic per modificar la memòria.,"Hier klicken, um den Speicher zu ändern.",Clic to modify memory.,Haz clic para modificar la memoria.,Cliquer pour modifier la mémoire.,Kliknij aby modyfikować pamięć.,Clique para modificar a memoria
INPUT_BAR_MODE_BUTTON_HINT,Fes clic per canviar de mode.,"Hier klicken, um den Modus zu wechseln.",Clic to switch of mode.,Haz clic para cambiar de modo.,Cliquer pour changer de mode.,Kliknij aby zmienić tryb.,Clique para mudar o modo
INPUT_BAR_SAY,Dir,Sagen,Say,Decir,Dire,Powiedz,Falar
INPUT_BAR_SAY_HINT,"Senyor, aquesta és la serva mula o la seva progenitora?","Sir, ist das Ihr Maultier oder Ihre Genetrix?","Sir, is that your mule or your genetrix?","¿Señor, es esa su mula o su progenitora?","Sire, est-ce votre mule ou votre génitrice","Panie, to jest muł czy pana matka?","Senhor, essa é sua mula ou sua genetrix?"
INPUT_BAR_STORY,Història,Geschichte,Story,Historia,Histoire,Historia,História
INPUT_BAR_STORY_HINT,El cavaller desembeina la seva espasa i fa un pas endavant.,Der Ritter zieht sein Schwert und macht einen Schritt nach vorne.,The knight draws his sword and takes a step forward.,El caballero desenvaina su espada y da un paso adelante.,Le chevalier dégaine son épée et fait un pas en avant.,Rycerz wydobywa swój miecz i wykonuje krok do przodu.,O guerreiro tira a espada e dá um passo a frente
INPUT_BAR_TRY,Intentar,Versuchen,Try,Intentar,Essayer,Spróbuj,Tentar
INPUT_BAR_TRY_HINT,amagar l'anell robat a la teva butxaca.,Verstecke den gestohlenen Ring in deiner Tasche.,conceal the stolen ring in your pocket.,esconder el anillo robado en tu bolsillo.,cacher la bague volée dans ta poche.,ukryć skradziony pierścień w swojej kieszeni.,esconda o anel roubado em seu bolso.
INSTALLER_NOT_FOUND,Instal·lador no trobat.,Das Installationsprogramm konnte nicht gefunden werden,Installer not found.,Instalador no encontrado.,Installateur introuvable.,Nie znaleziono instalatora.,Instalador não encontrado.
INSTALL_NOT_FOUND,"El joc no ha trobat la instal·lació. Si us plau, executa l'instal·lador i instal·la el joc.",Die Installation konnte nicht gefunden werden. Bitte das Installationsprogramm ausführen um das Spiel zu installieren,"The game didn't find the installation. Please, run the installer and install the game.","El juego no ha encontrado la instalación. Por favor, ejecuta el instalador e instala el juego.",Le jeu n’a pas trouvé l'installation. Veuillez lancer l'installateur et installer le jeu.,Gra nie znalazła instalacji. Proszę uruchomić instalator i zainstalować grę.,O jogo não encontrou a instalação Por favor rode o instalador e instale o jogo.
INSTALL_OUTDATED,"La teva instal·lació està obsoleta. Si us plau, executa l'instal·lador i actualitza-la.",Die Installation ist veraltet. Bitte das Installationsprogramm ausführen um die Installation zu aktualisieren,"Your installation is outdated. Please, run the installer and update.","Tu instalación está obsoleta. Por favor, ejecuta el instalador y actualízala.",Votre installation est obsolète. Veuillez exécuter l'installateur et mettre à jour.,Twoja instalacja jest nieaktualna. Proszę uruchomić instalator i ją uaktualnić.,"Sua instalação é antiga. Por favor, rode o instalador e atualize."
INTELLIGENCE,Intel·ligència,Intelligenz,Intelligence,Inteligencia,Intelligence,Inteligencja,Inteligência
INTERFACE_LANGUAGE,Idioma de la interfície.,Schnittstellensprache,Interface language,Idioma de la interfaz.,Langue de l'interface,Język interfejsu,Linguagem da interface
INTRO_DEMO_BUY,Comprar el joc,Spiel kaufen,Buy the game,Comprar el juego,Acheter le jeu,Zakup grę,Comprar o jogo
INTRO_DEMO_DISCORD,Unir-se al Discord,Discord beitreten,Join the discord,Unirse al Discord,Rejoindre le discord,Dołącz na Discorda,Entrar no Discord
INTRO_DEMO_ENABLED_MODELS,Només estan activats els models següents:,folgende Modelle sind aktiviert:,Only the following models are enabled:,Solo están activados los siguientes modelos:,Seuls les models suivants sont activés:,Jedynie podane modele są włączone:,Apenas os seguintes modelos estão habilitados:
INTRO_DEMO_LIMITATIONS,Les teves aventures estan limitades a,Ihre Abenteuer sind begrenzt auf,Your adventures are limited to,Tus aventuras están limitadas a,Vos aventures sont limitées à,Twoje przygody ograniczają się do,Suas aventuras são limitadas a
INTRO_DEMO_PLAY,Jugar,Das Spiel spielen,Play the game,Jugar,Jouer au jeu,Zagraj w grę,Jogar o jogo
INTRO_DEMO_TITLE,Gràcies per baixar la demo d'Aidventure!,"Vielen Dank, dass Sie die Demo von AIdventure heruntergeladen haben!",Thank you for downloading AIdventure's demo!,¡Gracias por descargar la demo de Aidventure!,Merci pour le d'avoir téléchargé de la démo d'AIdventure !,Dzięki za pobranie dema Aidventure!,Obrigado por instalar a demo de AIdventure!
IN_GAME_TOP_MENU,Menú,Menü,Menu,Menú,Menu,Menu,Menu
IN_GAME_TOP_MENU_HINT,Prem l’ESC per obrir-lo.,ESC zum Öffnen drücken,Press ESC to open it.,Presiona ESC para abrirlo.,Appuyer sur ÉCHAP pour l'ouvrir.,Naciśnij ESC aby otworzyć.,Pressione ESC para abrir
ITEM_URL,,Gegenstand-URL,Open item URL,,Ouvrir l'URL de l'objet,Otwórz adres URL przedmiotu,
I_ACCEPTED_TOS,,Ich habe die Nutzungsbedingungen akzeptiert.,I accepted the terms of use.,,J'ai accepté les conditions d'utilisation.,Zaakceptowałem warunki użytkowania,
LANGUAGE,Idioma,Sprache,Language,Idioma,Langue,Język,Linguagem
LAUNCH_INSTALLER,Iniciar l'instal·lador,Installationsprogramm ausführen,Launch the installer,Iniciar el instalador,Lancer l'installeur,Uruchom instalator,Iniciar o instalador
LINE_SEPARATION,Separació entre línies,Linientrennung,Line separation,Separación entre lineas,Séparation entre les lignes,Odległość między liniami,Separação de linha
LOAD,Carregar,Laden,Load,Cargar,Charger,Wczytaj,Carregar
LOREBOOK,Llibre del Coneixement,Geschichtsbuch,Lorebook,Libro del Conocimiento,Encyclopédie,Księga wiedzy,Enciclopédia
LOREBOOK_HINT,"El títol de l'entrada no és enviat al servidor. Si el teu títol és “Batman” hauries de tenir “Batman” a la definició.
Per exemple: “Batman és un superheroi sense superpoders.”","Der Eintragstitel wird nicht zum Server geschickt. Falls also der Eintrag „Batman“ heißt, sollte auch die Definition „Batman“ sein.
Beispiel: „Batman ist ein Superheld ohne eine Superkraft“","The entry title isn't sent to the server. If your entry title is ""Batman"" you should have ""Batman"" in the definition.
Example: ""Batman is a super hero with no special power.""","El título de la entrada no es enviado al servidor. Si tu título es “Batman” deberías tener “Batman” en la definición.
Por ejemplo: “Batman es un superhéroe sin superpoderes.”","Le titre de l'entrée n'est pas envoyé au serveur. Si votre titre d'entrée est ""Batman"" vous devriez avoir ""Batman"" dans la définition.
Exemple : ""Batman est un super héros sans super pouvoir.""","Tytuł wpisu nie jest wysyłany na server. Jeśli twój tytuł wpisu to „Batman” definicja powinna zawierać słowo „Batman”.
Przykład: „Batman jest superbohaterem bez żadnych specjalnych mocy”","O título não foi enviado. Se seu título tiver “Batman” você deve ter “Batman” na definição.
Exemplo: “Batman é um super-herói sem poderes"""
LOW_RAM_HINT,,"Das ist eine experimentelle Funktion.
Sie reduziert den, vom Server benötigten, RAM um ungefähr die Hälfte","This is an experimental feature.
It reduces by ~2 the memory needed by the server.",,"C'est une fonctionnalité expérimentale.
Elle réduit de ~2 la mémoire nécessaire au serveur.","Jest to eksperymentalna funkcja.
Redukuje ~2 potrzebowanej przez serwer pamięci.",
LOW_RAM_MODE,,Niedriger RAM Modus,Low RAM mode,,Mode faible RAM,Niskie zużycie RAMu,
LUCK,Sort,Glück,Luck,Suerte,Chance,Szczęście,Sorte
MAIN_MENU,Menú Principal,Hauptmenü,Main Menu,Menú Principal,Menu Principal,Menu Główne,Menu principal
MAIN_MENU_CREDITS,Crèdits,Mitwirkende,Credits,Créditos,Crédits,Napisy,Créditos
MAIN_MENU_LOAD_STORY,Carregar Història,Geschichte laden,Load Story,Cargar Historia,Charger une Histoire,Wczytaj Historię,Carregar história
MAIN_MENU_NEW_STORY,Història Nova,Neue Geschichte,New Story,Nueva Historia,Nouvelle Histoire,Nowa Historia,Nova história
MAIN_MENU_OPTIONS,Opcions,Optionen,Options,Opciones,Options,Opcje,Opções
MAIN_MENU_QUIT,Sortir,Verlassen,Quit,Salir,Quitter,Wyjdź,Sair
MAIN_MENU_REPORT_BUG,Informar d'un error,Technischen Fehler melden,Report a bug,Informar de un error,Signaler un bug,Zgłoś błąd,Denunciar um bug
MAIN_MENU_SCENARIO_EDITOR,Editor d'Escenaris,Szenario-Editor,Scenario Editor,Editor de Escenarios,Éditeur de Scénario,Edytor Scenariusza,Editor de cenário
MAIN_MENU_SCENARIO_EDITOR_HINT,Modificar / Crear un nou escenari.,Bearbeiten / Erstellen Sie ein neues Szenario.,Edit / Create a new scenario.,Modificar / Crear un nuevo escenario.,Modifier / Créer un nouveau scénario.,Edytuj / Stwórz nowy scenariusz.,Editar / Criar um novo cenário
MAIN_MENU_STORY_EDITOR,Editor d'Històries,Story-Editor,Story Editor,Editor de Historias,Éditeur d'Histoire,Edytor Historii,Editor de história
MAIN_MENU_STORY_EDITOR_HINT,Modificar un dels teus fitxers de guardat.,Eine gespeicherte Geschichte bearbeiten,Edit one of your save.,Modificar uno de tus archivos de guardado.,Modifier une sauvegarde.,Edytuj jeden ze swoich zapisów.,Editar um de seus saves.
MAIN_MENU_TAG_LINE,Viure il·limitades i infinites aventures,Erleben Sie unbegrenzte und unendliche Abenteuer,Live unlimited and infinite adventures,Vivir ilimitadas e infinitas aventuras,Vivez des aventures sans limites et infinies,Przeżyj nielimitowane i nieskończone przygody,Vida ilimitada e aventuras ilimitadas
MAIN_MENU_WEBSITE,Lloc Web,Internetseite,Website,Sitio Web,Site Web,Strona,Website
MAJOR_SUCCESS_PREFIX,satisfactòriament,auf zufriedenstellende Art und Weise,satisfyingly,satisfactoriamente,réussie convenablement à,satysfakcjonująco,satisfatoriamente
MAX_TIME,Temps màxim,Maximale Zeit,Max time,Tiempo máximo,Temps max,Maksymalny czas,Tempo máximo
MAX_TIME_HINT,"El temps màxim que té la IA per generar text, en segons.","Die maximale Zeit in Sekunden, die Sie der KI geben, um Text zu generieren.","The maximum amount of time you allow the AI to generate text, in seconds.","El tiempo máximo que tiene la IA para generar texto, en segundos.","Le temps maximum que vous laissez à l'IA pour générer du texte, en secondes.","Maksymalna ilość czasu w jakim zezwalasz AI na generację tekstu, w sekundach.","O tempo máximo que você deixa a IA gerar texto, em segundos."
MEMORY_DIALOG_HINT,"Escriu aquí allò que la IA hauria de recordar.
Per exemple: “Ets l’Artús, Rei d'Anglaterra.\nEstàs en guerra amb Escòcia”","Schreiben Sie hier, woran sich die KI erinnern soll.
Beispiel: ""Sie sind Arthur, König von England.
Sie befinden sich im Krieg mit Schottland.""","Write here what the AI should remember.
Example: ""You are Arthur, King of England.\nYou are in war with Scotland""","Escribe aquí lo que la IA debería recordar.
Por ejemplo: “Eres Arturo, Rey de Inglaterra.\nEstás en guerra con Escocia”","Écrivez ici ce dont l'IA doit se souvenir.
Exemple : « Vous êtes Arthur, roi d'Angleterre.
Vous êtes en guerre contre l'Écosse""","Napisz to co powinno pamiętać AI.
Przykład: „jesteś Artur, król Anglii.\nJesteś w stanie wojny ze Szkocją”","Escreva aqui o que a IA deveria lembrar. Exemplo: “Você é Arthur, Rei ad Inglaterra. \nVocê está em guerra com a Escócia"""
MEMORY_MAX_LENGTH,Longitud de memòria màxima,Maximale Speicherlänge,Memory max length,Longitud de memoria máxima,Taille max de la mémoire,Maksymalna długość pamięci,Tamanho máximo da memória
MEMORY_MAX_LENGTH_HINT,Quants caràcters pot contenir la memòria.,Wie viele Zeichen der Speicher aufnehmen kann.,How many characters the memory can hold.,Cuantos caracteres puede contener la memoria.,Combien de caractères la mémoire peut contenir.,Jak wiele wyrazów może pomieścić pamięć.,Quantos caracteres a memória consegue guardr
MODEL_SELECTOR_125M_AID_HINT,Adequat per provar l'aventura a gran velocitat.,Am besten zum Testen von Abenteuern mit hoher Geschwindigkeit geeignet.,Mostly suitable for testing adventure at fast speed.,Adecuado para probar la aventura a gran velocidad.,Convient surtout pour tester l'aventure à vitesse rapide.,W większości odpowiednie do testowania przygód w szybkim czasie.,Mais adequado para testar aventura em velocidade rápida
MODEL_SELECTOR_BROWSE_MODEL,Cerca de models en línia,Online nach mehr Modellen suchen,Browse for models online,Búsqueda de modelos en línea,Rechercher des modèles en ligne,Przeglądaj modele online,Procurar modelos online
MODEL_SELECTOR_BUTTON,Selecciona un model,Modell auswählen,Select a model,Selecciona un modelo,Sélectionner un modèle,Wybierz model,Selecionar um modelo
